item_name;item_category;designation;conductor_material;insulation_material;conductor_cross_section;neutral_xsec;type_of_cable;x_ohm_per_km;c_nf_per_km;armour_material;armour_cross_section
2x1.5 Y;PVC Insulated Copper Condutor, Single Core Cable in Conduit;2x1.5 Y;Copper;PVC;1.5;1;1ph;;;Steel;
2x2.5 Y;PVC Insulated Copper Condutor, Single Core Cable in Conduit;2x2.5 Y;Copper;PVC;2.5;1;1ph;;;Steel;
2x4 Y;PVC Insulated Copper Condutor, Single Core Cable in Conduit;2x4 Y;Copper;PVC;4;1;1ph;;;Steel;
2x6 Y;PVC Insulated Copper Condutor, Single Core Cable in Conduit;2x6 Y;Copper;PVC;6;1;1ph;;;Steel;
2x10 Y;PVC Insulated Copper Condutor, Single Core Cable in Conduit;2x10 Y;Copper;PVC;10;1;1ph;;;Steel;
2x16 Y;PVC Insulated Copper Condutor, Single Core Cable in Conduit;2x16 Y;Copper;PVC;16;1;1ph;;;Steel;
2x25 Y;PVC Insulated Copper Condutor, Single Core Cable in Conduit;2x25 Y;Copper;PVC;25;1;1ph;;;Steel;
4x1.5 Y;PVC Insulated Copper Condutor, Single Core Cable in Conduit;4x1.5 Y;Copper;PVC;1.5;1;3ph;;;Steel;
4x2.5 Y;PVC Insulated Copper Condutor, Single Core Cable in Conduit;4x2.5 Y;Copper;PVC;2.5;1;3ph;;;Steel;
4x4 Y;PVC Insulated Copper Condutor, Single Core Cable in Conduit;4x4 Y;Copper;PVC;4;1;3ph;;;Steel;
4x6 Y;PVC Insulated Copper Condutor, Single Core Cable in Conduit;4x6 Y;Copper;PVC;6;1;3ph;;;Steel;
4x10 Y;PVC Insulated Copper Condutor, Single Core Cable in Conduit;4x10 Y;Copper;PVC;10;1;3ph;;;Steel;
4x16 Y;PVC Insulated Copper Condutor, Single Core Cable in Conduit;4x16 Y;Copper;PVC;16;1;3ph;;;Steel;
4x25 Y;PVC Insulated Copper Condutor, Single Core Cable in Conduit;4x25 Y;Copper;PVC;25;1;3ph;0.3;;Steel;
2x4 2XY;Copper XLPE Cables;2x4 2XY;Copper;XLPE/EPR;4;1;1ph;0.08;110;Steel;
2x6 2XY;Copper XLPE Cables;2x6 2XY;Copper;XLPE/EPR;6;1;1ph;0.08;130;Steel;
2x10 2XY;Copper XLPE Cables;2x10 2XY;Copper;XLPE/EPR;10;1;1ph;0.08;160;Steel;
2x16 2XY;Copper XLPE Cables;2x16 2XY;Copper;XLPE/EPR;16;1;1ph;0.08;180;Steel;
2x25 2XY;Copper XLPE Cables;2x25 2XY;Copper;XLPE/EPR;25;1;1ph;0.08;200;Steel;
2x35 2XY;Copper XLPE Cables;2x35 2XY;Copper;XLPE/EPR;35;1;1ph;0.08;230;Steel;
2x50 2XY;Copper XLPE Cables;2x50 2XY;Copper;XLPE/EPR;50;1;1ph;0.08;240;Steel;
2x70 2XY;Copper XLPE Cables;2x70 2XY;Copper;XLPE/EPR;70;1;1ph;0.08;260;Steel;
2x95 2XY;Copper XLPE Cables;2x95 2XY;Copper;XLPE/EPR;95;1;1ph;0.08;290;Steel;
2x120 2XY;Copper XLPE Cables;2x120 2XY;Copper;XLPE/EPR;120;1;1ph;0.08;290;Steel;
2x150 2XY;Copper XLPE Cables;2x150 2XY;Copper;XLPE/EPR;150;1;1ph;0.08;290;Steel;
2x185 2XY;Copper XLPE Cables;2x185 2XY;Copper;XLPE/EPR;185;1;1ph;0.08;290;Steel;
2x240 2XY;Copper XLPE Cables;2x240 2XY;Copper;XLPE/EPR;240;1;1ph;0.08;310;Steel;
2x300 2XY;Copper XLPE Cables;2x300 2XY;Copper;XLPE/EPR;300;1;1ph;0.08;330;Steel;
3x4 2XY;Copper XLPE Cables;3x4 2XY;Copper;XLPE/EPR;4;0;3ph;0.08;110;Steel;
3x6 2XY;Copper XLPE Cables;3x6 2XY;Copper;XLPE/EPR;6;0;3ph;0.08;130;Steel;
3x10 2XY;Copper XLPE Cables;3x10 2XY;Copper;XLPE/EPR;10;0;3ph;0.08;160;Steel;
3x16 2XY;Copper XLPE Cables;3x16 2XY;Copper;XLPE/EPR;16;0;3ph;0.08;180;Steel;
3x25 2XY;Copper XLPE Cables;3x25 2XY;Copper;XLPE/EPR;25;0;3ph;0.08;200;Steel;
3x35 2XY;Copper XLPE Cables;3x35 2XY;Copper;XLPE/EPR;35;0;3ph;0.08;230;Steel;
3x50 2XY;Copper XLPE Cables;3x50 2XY;Copper;XLPE/EPR;50;0;3ph;0.08;240;Steel;
3x70 2XY;Copper XLPE Cables;3x70 2XY;Copper;XLPE/EPR;70;0;3ph;0.08;260;Steel;
3x95 2XY;Copper XLPE Cables;3x95 2XY;Copper;XLPE/EPR;95;0;3ph;0.08;290;Steel;
3x120 2XY;Copper XLPE Cables;3x120 2XY;Copper;XLPE/EPR;120;0;3ph;0.08;290;Steel;
3x150 2XY;Copper XLPE Cables;3x150 2XY;Copper;XLPE/EPR;150;0;3ph;0.08;290;Steel;
3x185 2XY;Copper XLPE Cables;3x185 2XY;Copper;XLPE/EPR;185;0;3ph;0.08;290;Steel;
3x240 2XY;Copper XLPE Cables;3x240 2XY;Copper;XLPE/EPR;240;0;3ph;0.08;310;Steel;
3x300 2XY;Copper XLPE Cables;3x300 2XY;Copper;XLPE/EPR;300;0;3ph;0.08;330;Steel;
3.5x25 2XY;Copper XLPE Cables;3.5x25 2XY;Copper;XLPE/EPR;25;0.64;3ph;0.08;200;Steel;
3.5x35 2XY;Copper XLPE Cables;3.5x35 2XY;Copper;XLPE/EPR;35;0.457;3ph;0.08;230;Steel;
3.5x50 2XY;Copper XLPE Cables;3.5x50 2XY;Copper;XLPE/EPR;50;0.5;3ph;0.08;240;Steel;
